file,flight,date_local,origin,dest,dep_rwy,dep_rwy_hdg,arr_rwy,arr_rwy_hdg,dep_metar,dep_wind_from,dep_wind_kt,dep_gust_kt,dep_vis_sm,dep_wx,dep_temp_c,dep_headwind_kt,dep_crosswind_kt,dep_wind_favours,arr_metar,arr_wind_from,arr_wind_kt,arr_gust_kt,arr_vis_sm,arr_wx,arr_temp_c,arr_headwind_kt,arr_crosswind_kt,arr_wind_favours,dep_qnh_inhg
UR720-4172c560.csv,UGD720,01SEP26,HRE,EBB,05,46.0,17,172.1,03:00,80.0,5.0,,6.21,M,14.0,4.1,2.8,05,02:30,120.0,12.0,,6.21,M,25.0,7.4,-9.5,12,30.33
UR713-4172e265.csv,UGD713,01SEP26,JNB,EBB,21L,194.0,17,172.1,00:00,130.0,6.0,,6.21,M,13.0,2.6,-5.4,21R,04:30,160.0,5.0,,6.21,M,25.0,4.9,-1.0,17,30.39
UR520-41730ef2.csv,UGD520,01SEP26,EBB,MGQ,17,172.1,,,02:00,120.0,12.0,,6.21,M,25.0,7.4,-9.5,12,03:00,,3.0,,6.21,M,25.0,,,,30.03
UR207-4173413d.csv,UGD207D,01SEP26,NBO,EBB,06,54.0,17,172.1,04:00,360.0,4.0,,6.21,M,14.0,2.4,-3.2,06,04:30,160.0,5.0,,6.21,M,25.0,4.9,-1.0,17,30.3
UR521-41738635.csv,UGD521,01SEP26,MGQ,EBB,,,17,172.1,06:00,220.0,12.0,,6.21,M,27.0,,,,07:00,170.0,10.0,,6.21,M,28.0,10.0,-0.4,17,30.03
UR110-4173c002.csv,UGD110,01SEP26,EBB,LGW,,,26L,258.0,07:00,170.0,10.0,,6.21,M,28.0,,,,15:20,230.0,8.0,,6.21,M,21.0,7.1,-3.8,26R,30.15
UR320-4173e8c5.csv,UGD320,01SEP26,EBB,DAR,17,172.1,23,225.0,07:00,170.0,10.0,,6.21,M,28.0,10.0,-0.4,17,10:00,140.0,13.0,,6.21,M,31.0,1.1,-13.0,14,30.15
UR722-417431eb.csv,UGD722,01SEP26,EBB,HRE,17,172.1,23,226.0,10:30,160.0,15.0,,6.21,M,28.0,14.7,-3.1,17,13:00,90.0,5.0,16.0,6.21,M,27.0,-3.6,-3.5,05,30.09
UR321-4174518e.csv,UGD321,01SEP26,DAR,EBB,23,225.0,17,172.1,11:00,150.0,12.0,,6.21,M,32.0,3.1,-11.6,14,12:30,170.0,10.0,,6.21,M,28.0,10.0,-0.4,17,30.09
UR360-4174ea44.csv,UGD360,01SEP26,EBB,BJM,17,172.1,17,172.0,14:00,200.0,10.0,,6.21,M,27.0,8.8,4.7,17,14:00,,,,6.21,M,31.0,,,,30.03
UR206-41752255.csv,UGD206,01SEP26,EBB,NBO,17,172.1,06,54.0,15:00,210.0,10.0,,6.21,M,27.0,7.9,6.1,17,16:00,110.0,9.0,,6.21,M,22.0,5.0,7.5,06,30.03
UR361-41754361.csv,UGD361,01SEP26,BJM,EBB,17,172.0,17,172.1,15:00,180.0,8.0,,6.21,M,30.0,7.9,1.1,17,16:00,180.0,6.0,,6.21,M,25.0,5.9,0.8,17,29.91
UR722-41759bd9.csv,UGD722,01SEP26,LUN,EBB,10,95.2,17,172.1,15:00,110.0,12.0,,5.59,M,28.0,11.6,3.1,10,19:30,270.0,5.0,,6.21,M,23.0,-0.7,5.0,30,30.15
UR207-4175b03e.csv,UGD207,01SEP26,NBO,EBB,06,54.0,17,172.1,17:00,120.0,6.0,,6.21,M,19.0,2.4,5.5,06,18:30,250.0,6.0,,6.21,M,24.0,1.3,5.9,30,30.24
UR111-4175ff27.csv,UGD111,01SEP26,LGW,EBB,26L,258.0,17,172.1,19:20,220.0,5.0,,6.21,M,18.0,3.9,-3.1,26R,03:30,110.0,12.0,,6.21,M,24.0,5.6,-10.6,12,30.12
UR712-41762996.csv,UGD712,01SEP26,EBB,JNB,17,172.1,03R,14.0,20:00,270.0,5.0,,6.21,M,23.0,-0.7,5.0,30,00:00,360.0,6.0,,6.21,M,14.0,5.8,-1.5,03L,30.06
UR713-4176f826.csv,UGD713,02SEP26,JNB,EBB,03R,14.0,17,172.1,00:00,360.0,6.0,,6.21,M,14.0,5.8,-1.5,03L,05:00,110.0,14.0,,6.21,M,25.0,6.6,-12.4,12,30.39
UR122-417764c7.csv,UGD122,02SEP26,EBB,JUB,17,172.1,31,310.0,04:00,110.0,14.0,,6.21,M,24.0,6.6,-12.4,12,,,,,,,,,,,30.09
UR200-417784a4.csv,UGD200,02SEP26,EBB,NBO,17,172.1,06,54.0,05:00,110.0,14.0,,6.21,M,25.0,6.6,-12.4,12,06:00,,6.0,,6.21,M,17.0,,,,30.09
UR123-4177ab0d.csv,UGD123,02SEP26,JUB,EBB,31,310.0,17,172.1,,,,,,,,,,,07:00,80.0,10.0,,6.21,M,27.0,-0.4,-10.0,12,
UR710-4177b015.csv,UGD710,02SEP26,EBB,JNB,17,172.1,03R,14.0,06:30,80.0,12.0,,6.21,M,27.0,-0.4,-12.0,12,10:30,360.0,10.0,,6.21,M,25.0,9.7,-2.4,03L,30.15
UR201-4177c828.csv,UGD201,02SEP26,NBO,EBB,06,54.0,17,172.1,07:00,150.0,6.0,,6.21,M,18.0,-0.6,6.0,24,08:00,120.0,10.0,,6.21,M,27.0,6.1,-7.9,12,30.36
UR722-41780e53.csv,UGD722,02SEP26,EBB,HRE,17,172.1,23,226.0,09:00,160.0,10.0,,6.21,M,28.0,9.8,-2.1,17,11:00,120.0,5.0,20.0,6.21,M,25.0,-1.4,-4.8,05,30.12
UR120-41780ef3.csv,UGD120,02SEP26,EBB,JUB,17,172.1,13,130.0,09:00,160.0,10.0,,6.21,M,28.0,9.8,-2.1,17,,,,,,,,,,,30.12
UR334-417819cd.csv,UGD334,02SEP26,EBB,ZNZ,17,172.1,18,174.0,09:30,160.0,9.0,,6.21,M,28.0,8.8,-1.9,17,11:00,130.0,11.0,,6.21,M,30.0,7.9,-7.6,18,30.12
UR121-41785f0d.csv,UGD121,02SEP26,JUB,EBB,13,130.0,17,172.1,,,,,,,,,,,12:00,180.0,10.0,,6.21,M,28.0,9.9,1.4,17,
UR711-41788bdf.csv,UGD711,02SEP26,JNB,EBB,03L,14.0,17,172.1,12:00,360.0,14.0,,6.21,M,26.0,13.6,-3.4,03L,16:00,180.0,4.0,,6.21,M,25.0,4.0,0.5,17,30.3
UR360-4178e32f.csv,UGD360,02SEP26,EBB,BJM,17,172.1,17,172.0,13:30,180.0,7.0,,6.21,M,28.0,6.9,1.0,17,12:00,180.0,14.0,,6.21,M,33.0,13.9,1.9,17,30.03
UR334-4178f107.csv,UGD334,02SEP26,JRO,EBB,09,87.0,17,172.1,13:00,70.0,8.0,,6.21,M,28.0,7.7,-2.3,09,14:30,180.0,6.0,,6.21,M,27.0,5.9,0.8,17,30.12
UR722-41793b26.csv,UGD722,02SEP26,LUN,EBB,10,95.2,17,172.1,15:00,130.0,12.0,,4.97,M,27.0,9.9,6.8,15,17:00,210.0,5.0,,6.21,M,24.0,3.9,3.1,17,30.12
UR361-41794f1d.csv,UGD361,02SEP26,BJM,EBB,17,172.0,17,172.1,,,,,,,,,,,16:00,180.0,4.0,,6.21,M,25.0,4.0,0.5,17,
UR342-4179a966.csv,UGD342,02SEP26,EBB,MBA,17,172.1,21,209.0,17:00,210.0,5.0,,6.21,M,24.0,3.9,3.1,17,18:00,160.0,6.0,,6.21,M,25.0,3.9,-4.5,15,30.03
UR430-4179f0a0.csv,UGD430,02SEP26,EBB,BOM,17,172.1,27,269.0,18:30,200.0,2.0,,6.21,M,23.0,1.8,0.9,,00:30,240.0,4.0,,1.86,BR,28.0,3.5,-1.9,27,30.03
UR322-417a1000.csv,UGD322,02SEP26,EBB,DAR,17,172.1,23,225.0,19:00,350.0,3.0,,6.21,M,23.0,-3.0,0.1,35,20:30,160.0,4.0,,6.21,M,23.0,1.7,-3.6,14,30.06
UR208-417a1e38.csv,UGD208,02SEP26,EBB,NBO,17,172.1,06,54.0,19:00,350.0,3.0,,6.21,M,23.0,-3.0,0.1,35,20:00,50.0,3.0,,6.21,M,15.0,3.0,-0.2,06,30.06
UR343-417a332c.csv,UGD343,02SEP26,MBA,EBB,21,209.0,17,172.1,19:30,260.0,3.0,,6.21,M,24.0,1.9,2.3,21,21:00,0.0,0.0,,6.21,M,22.0,-0.0,-0.0,,30.06
