date_local,flight,origin,takeoff_local,departure_utc,arrival_local,arrival_utc,dest,next_day,takeoff_not_observed,landing_not_observed,air_minutes,fixes,source_file
01SEP26,UGD720,HRE,0205,2026-09-01 00:05:28Z,0545,2026-09-01 02:45:52Z,EBB,,,,160,473,UR720-4172c560.csv
01SEP26,UGD713,JNB,0255,2026-09-01 00:55:35Z,0746,2026-09-01 04:46:51Z,EBB,,,,231,638,UR713-4172e265.csv
01SEP26,UGD520,EBB,0506,2026-09-01 02:06:21Z,0650,2026-09-01 03:50:14Z,MGQ,,,Y,104,215,UR520-41730ef2.csv
01SEP26,UGD207D,NBO,0704,2026-09-01 04:04:48Z,0751,2026-09-01 04:51:53Z,EBB,,,,47,401,UR207-4173413d.csv
01SEP26,UGD521,MGQ,0923,2026-09-01 06:23:29Z,1058,2026-09-01 07:58:33Z,EBB,,Y,,95,262,UR521-41738635.csv
01SEP26,UGD110,EBB,1051,2026-09-01 07:51:17Z,1649,2026-09-01 15:49:29Z,LGW,,,,478,935,UR110-4173c002.csv
01SEP26,UGD320,EBB,1149,2026-09-01 08:49:59Z,1321,2026-09-01 10:21:20Z,DAR,,,Y,91,310,UR320-4173e8c5.csv
01SEP26,UGD722,EBB,1342,2026-09-01 10:42:06Z,1527,2026-09-01 13:27:57Z,HRE,,,,166,469,UR722-417431eb.csv
01SEP26,UGD321,DAR,1423,2026-09-01 11:23:15Z,1556,2026-09-01 12:56:03Z,EBB,,,,93,395,UR321-4174518e.csv
01SEP26,UGD360,EBB,1704,2026-09-01 14:04:12Z,1652,2026-09-01 14:52:41Z,BJM,,,,48,278,UR360-4174ea44.csv
01SEP26,UGD361,BJM,1735,2026-09-01 15:35:04Z,1926,2026-09-01 16:26:49Z,EBB,,,,52,290,UR361-41754361.csv
01SEP26,UGD206,EBB,1817,2026-09-01 15:17:15Z,1908,2026-09-01 16:08:33Z,NBO,,,,51,365,UR206-41752255.csv
01SEP26,UGD722,LUN,1911,2026-09-01 17:11:17Z,2238,2026-09-01 19:38:50Z,EBB,,,,148,386,UR722-41759bd9.csv
01SEP26,UGD111,LGW,2026,2026-09-01 19:26:59Z,0632,2026-09-02 03:32:14Z,EBB,Y,,,485,687,UR111-4175ff27.csv
01SEP26,UGD207,NBO,2106,2026-09-01 18:06:03Z,2158,2026-09-01 18:58:28Z,EBB,,,,52,384,UR207-4175b03e.csv
01SEP26,UGD712,EBB,2316,2026-09-01 20:16:08Z,0211,2026-09-02 00:11:46Z,JNB,Y,,,236,592,UR712-41762996.csv
02SEP26,UGD713,JNB,0321,2026-09-02 01:21:20Z,0819,2026-09-02 05:19:58Z,EBB,,,,239,675,UR713-4176f826.csv
02SEP26,UGD122,EBB,0720,2026-09-02 04:20:17Z,0713,2026-09-02 05:13:20Z,JUB,,,,53,320,UR122-417764c7.csv
02SEP26,UGD200,EBB,0816,2026-09-02 05:16:28Z,0913,2026-09-02 06:13:04Z,NBO,,,,57,268,UR200-417784a4.csv
02SEP26,UGD123,JUB,0830,2026-09-02 06:30:29Z,1023,2026-09-02 07:23:34Z,EBB,,,,53,283,UR123-4177ab0d.csv
02SEP26,UGD710,EBB,0954,2026-09-02 06:54:04Z,1247,2026-09-02 10:47:51Z,JNB,,,,234,736,UR710-4177b015.csv
02SEP26,UGD201,NBO,1018,2026-09-02 07:18:32Z,1111,2026-09-02 08:11:11Z,EBB,,,,53,293,UR201-4177c828.csv
02SEP26,UGD722,EBB,1214,2026-09-02 09:14:57Z,1355,2026-09-02 11:55:56Z,HRE,,,,161,367,UR722-41780e53.csv
02SEP26,UGD120,EBB,1217,2026-09-02 09:17:42Z,1212,2026-09-02 10:12:37Z,JUB,,,,55,310,UR120-41780ef3.csv
02SEP26,UGD334,EBB,1236,2026-09-02 09:36:33Z,1404,2026-09-02 11:04:43Z,ZNZ,,,,88,358,UR334-417819cd.csv
02SEP26,UGD121,JUB,1311,2026-09-02 11:11:56Z,1503,2026-09-02 12:03:12Z,EBB,,,,51,308,UR121-41785f0d.csv
02SEP26,UGD711,JNB,1421,2026-09-02 12:21:11Z,1924,2026-09-02 16:24:41Z,EBB,,,,244,753,UR711-41788bdf.csv
02SEP26,UGD360,EBB,1637,2026-09-02 13:37:31Z,1627,2026-09-02 14:27:49Z,BJM,,,,50,363,UR360-4178e32f.csv
02SEP26,UGD334,JRO,1648,2026-09-02 13:48:11Z,1749,2026-09-02 14:49:42Z,EBB,,,,62,266,UR334-4178f107.csv
02SEP26,UGD722,LUN,1702,2026-09-02 15:02:20Z,2024,2026-09-02 17:24:49Z,EBB,,,,142,322,UR722-41793b26.csv
02SEP26,UGD361,BJM,1724,2026-09-02 15:24:48Z,1917,2026-09-02 16:17:01Z,EBB,,,,52,314,UR361-41794f1d.csv
02SEP26,UGD342,EBB,2002,2026-09-02 17:02:21Z,2122,2026-09-02 18:22:31Z,MBA,,,,80,301,UR342-4179a966.csv
02SEP26,UGD430,EBB,2136,2026-09-02 18:36:46Z,0627,2026-09-03 00:57:42Z,BOM,Y,,,381,465,UR430-4179f0a0.csv
02SEP26,UGD322,EBB,2200,2026-09-02 19:00:46Z,2331,2026-09-02 20:31:15Z,DAR,,,Y,90,302,UR322-417a1000.csv
02SEP26,UGD208,EBB,2220,2026-09-02 19:20:41Z,2310,2026-09-02 20:10:42Z,NBO,,,,50,215,UR208-417a1e38.csv
02SEP26,UGD343,MBA,2246,2026-09-02 19:46:24Z,0005,2026-09-02 21:05:11Z,EBB,Y,,,79,305,UR343-417a332c.csv
03SEP26,UGD209,NBO,0035,2026-09-02 21:35:44Z,0127,2026-09-02 22:27:42Z,EBB,,,,52,263,UR209-417a83ba.csv
03SEP26,UGD323,DAR,0038,2026-09-02 21:38:34Z,0207,2026-09-02 23:07:47Z,EBB,,,,89,348,UR323-417a85db.csv
03SEP26,UGD200,EBB,0758,2026-09-03 04:58:54Z,0850,2026-09-03 05:50:18Z,NBO,,,,51,262,UR200-417b918b.csv
03SEP26,UGD431,BOM,0838,2026-09-03 03:08:33Z,1204,2026-09-03 09:04:30Z,EBB,,,,356,511,UR431-417b497a.csv
03SEP26,UGD201,NBO,1005,2026-09-03 07:05:05Z,1056,2026-09-03 07:56:20Z,EBB,,,,51,255,UR201-417bd90e.csv
03SEP26,UGD722,EBB,1338,2026-09-03 10:38:21Z,1514,2026-09-03 13:14:52Z,HRE,,,,157,345,UR722-417c552e.csv
03SEP26,UGD120,EBB,1358,2026-09-03 10:58:27Z,1357,2026-09-03 11:57:50Z,JUB,,,,59,463,UR120-417c6db7.csv
03SEP26,UGD121,JUB,1505,2026-09-03 13:05:32Z,1655,2026-09-03 13:55:27Z,EBB,,,,50,242,UR121-417cddad.csv
03SEP26,UGD360,EBB,1639,2026-09-03 13:39:02Z,1633,2026-09-03 14:33:16Z,BJM,,,,54,451,UR360-417cfd0a.csv
03SEP26,UGD361,BJM,1731,2026-09-03 15:31:55Z,1924,2026-09-03 16:24:19Z,EBB,,,,52,334,UR361-417d6a6a.csv
03SEP26,UGD722,LUN,1854,2026-09-03 16:54:01Z,2216,2026-09-03 19:16:46Z,EBB,,,,143,584,UR722-417db548.csv
03SEP26,UGD322,EBB,2159,2026-09-03 18:59:36Z,2328,2026-09-03 20:28:04Z,DAR,,,,88,325,UR322-417e1d45.csv
03SEP26,UGD208,EBB,2212,2026-09-03 19:12:24Z,2301,2026-09-03 20:01:10Z,NBO,,,,49,230,UR208-417e2cfc.csv
04SEP26,UGD902,EBB,0000,2026-09-03 21:00:42Z,0211,2026-09-04 01:11:56Z,LOS,,,,251,623,UR902-417e77f4.csv
04SEP26,UGD209,NBO,0023,2026-09-03 21:23:30Z,0116,2026-09-03 22:16:14Z,EBB,,,,53,257,UR209-417e92a9.csv
04SEP26,UGD323,DAR,0041,2026-09-03 21:41:21Z,0213,2026-09-03 23:13:19Z,EBB,,,,92,309,UR323-417e9f66.csv
04SEP26,UGD903,LOS,0342,2026-09-04 02:42:01Z,0956,2026-09-04 06:56:11Z,EBB,,,,254,672,UR903-417f62b7.csv
04SEP26,UGD520,EBB,0507,2026-09-04 02:07:47Z,0650,2026-09-04 03:50:11Z,MGQ,,,Y,102,210,UR520-417f5329.csv
04SEP26,UGD200,EBB,0758,2026-09-04 04:58:37Z,0845,2026-09-04 05:45:51Z,NBO,,,,47,203,UR200-417fae7e.csv
04SEP26,UGD334,EBB,0912,2026-09-04 06:12:32Z,1037,2026-09-04 07:37:11Z,ZNZ,,,,85,331,UR334-417fd52c.csv
04SEP26,UGD521,MGQ,0921,2026-09-04 06:21:36Z,1056,2026-09-04 07:56:04Z,EBB,,Y,,94,235,UR521-417fcc42.csv
04SEP26,UGD201,NBO,1000,2026-09-04 07:00:18Z,1050,2026-09-04 07:50:29Z,EBB,,,,50,262,UR201-417ff073.csv
04SEP26,UGD710,EBB,1139,2026-09-04 08:39:27Z,1439,2026-09-04 12:39:40Z,JNB,,,,240,866,UR710-41801c3b.csv
04SEP26,UGD110,EBB,1153,2026-09-04 08:53:50Z,1756,2026-09-04 16:56:37Z,LGW,,,,483,896,UR110-4180268d.csv
04SEP26,UGD334,JRO,1338,2026-09-04 10:38:14Z,1441,2026-09-04 11:41:13Z,EBB,,,,63,320,UR334-4180775f.csv
04SEP26,UGD120,EBB,1416,2026-09-04 11:16:11Z,1411,2026-09-04 12:11:36Z,JUB,,,,55,375,UR120-4180920f.csv
04SEP26,UGD121,JUB,1514,2026-09-04 13:14:56Z,1704,2026-09-04 14:04:10Z,EBB,,,,49,210,UR121-4180fd53.csv
04SEP26,UGD711,JNB,1640,2026-09-04 14:40:20Z,2150,2026-09-04 18:50:17Z,EBB,,,,250,858,UR711-41813ab4.csv
04SEP26,UGD360,EBB,1642,2026-09-04 13:42:01Z,1631,2026-09-04 14:31:46Z,BJM,,,,50,283,UR360-4181197a.csv
04SEP26,UGD361,BJM,1729,2026-09-04 15:29:46Z,1918,2026-09-04 16:18:58Z,EBB,,,,49,252,UR361-41818775.csv
04SEP26,UGD206,EBB,1758,2026-09-04 14:58:20Z,1847,2026-09-04 15:47:43Z,NBO,,,,49,212,UR206-418165b0.csv
04SEP26,UGD342,EBB,1844,2026-09-04 15:44:47Z,2007,2026-09-04 17:07:41Z,MBA,,,,83,378,UR342-41819339.csv
04SEP26,UGD207,NBO,1956,2026-09-04 16:56:47Z,2049,2026-09-04 17:49:19Z,EBB,,,,53,249,UR207-4181d8cb.csv
04SEP26,UGD111,LGW,2024,2026-09-04 19:24:58Z,0637,2026-09-05 03:37:50Z,EBB,Y,,,493,637,UR111-41824e5d.csv
04SEP26,UGD343,MBA,2112,2026-09-04 18:12:10Z,2231,2026-09-04 19:31:02Z,EBB,,,,79,320,UR343-41821bed.csv
04SEP26,UGD720,EBB,2113,2026-09-04 18:13:55Z,2238,2026-09-04 20:38:04Z,LUN,,,,144,282,UR720-418217cc.csv
04SEP26,UGD322,EBB,2204,2026-09-04 19:04:24Z,2332,2026-09-04 20:32:51Z,DAR,,,Y,88,347,UR322-4182471c.csv
04SEP26,UGD902,EBB,2359,2026-09-04 20:59:24Z,0211,2026-09-05 01:11:34Z,LOS,Y,,,252,687,UR902-418298cd.csv
05SEP26,UGD323,DAR,0030,2026-09-04 21:30:47Z,0200,2026-09-04 23:00:25Z,EBB,,,,90,302,UR323-4182b881.csv
05SEP26,UGD720,HRE,0136,2026-09-04 23:36:42Z,0521,2026-09-05 02:21:15Z,EBB,,,,165,334,UR720-418311f2.csv
05SEP26,UGD903,LOS,0340,2026-09-05 02:40:38Z,0959,2026-09-05 06:59:58Z,EBB,,,,259,725,UR903-41837427.csv
05SEP26,UGD520,EBB,0455,2026-09-05 01:55:02Z,0651,2026-09-05 03:51:47Z,MGQ,,,Y,117,224,UR520-41836393.csv
05SEP26,UGD200,EBB,0805,2026-09-05 05:05:57Z,0859,2026-09-05 05:59:01Z,NBO,,,,53,277,UR200-4183c10c.csv
05SEP26,UGD521,MGQ,0843,2026-09-05 05:43:55Z,1030,2026-09-05 07:30:50Z,EBB,,Y,,107,252,UR521-4183ce5c.csv
05SEP26,UGD201,NBO,1021,2026-09-05 07:21:35Z,1113,2026-09-05 08:13:05Z,EBB,,,,52,266,UR201-41840565.csv
05SEP26,UGD710,EBB,1119,2026-09-05 08:19:22Z,1413,2026-09-05 12:13:24Z,JNB,,,,234,671,UR710-418421df.csv
05SEP26,UGD722,EBB,1315,2026-09-05 10:15:45Z,1454,2026-09-05 12:54:03Z,HRE,,,,158,360,UR722-41846f6f.csv
05SEP26,UGD120,EBB,1325,2026-09-05 10:25:26Z,1321,2026-09-05 11:21:11Z,JUB,,,,56,312,UR120-41847582.csv
05SEP26,UGD430,EBB,1415,2026-09-05 11:15:13Z,2306,2026-09-05 17:36:59Z,BOM,,,,382,514,UR430-41849343.csv
05SEP26,UGD121,JUB,1425,2026-09-05 12:25:02Z,1615,2026-09-05 13:15:41Z,EBB,,,,51,293,UR121-4184d091.csv
