tail,date,flight,callsign,origin,dest,triangle_sector,verified_track,app_status
5X-EQU,2026-08-31,UR720,UGD720,LUN,HRE,Y,,green
5X-EQU,2026-08-31,UR720,UGD720,EBB,LUN,,Y,green
5X-EQU,2026-08-31,UR321,UGD321,DAR,EBB,,,green
5X-EQU,2026-08-31,UR320,UGD320,,,,,
5X-EQU,2026-09-01,UR720,UGD720,HRE,EBB,,Y,green
5X-EQU,2026-09-02,UR322,UGD322,EBB,DAR,,Y,green
5X-EQU,2026-09-02,UR722,UGD722,LUN,EBB,,Y,green
5X-EQU,2026-09-02,UR722,UGD722,HRE,LUN,Y,,green
5X-EQU,2026-09-02,UR722,UGD722,EBB,HRE,,Y,green
5X-EQU,2026-09-03,UR322,UGD322,EBB,DAR,,Y,green
5X-EQU,2026-09-03,UR121,UGD121,JUB,EBB,,Y,green
5X-EQU,2026-09-03,UR120,UGD120,EBB,JUB,,Y,green
5X-EQU,2026-09-03,UR201,UGD201,NBO,EBB,,Y,green
5X-EQU,2026-09-03,UR200,UGD200,EBB,NBO,,Y,green
5X-EQU,2026-09-03,UR323,UGD323,DAR,EBB,,Y,green
5X-EQU,2026-09-04,UR343,UGD343,MBA,EBB,,Y,green
5X-EQU,2026-09-04,UR342,UGD342,EBB,MBA,,Y,green
5X-EQU,2026-09-04,UR121,UGD121,JUB,EBB,,Y,green
5X-EQU,2026-09-04,UR120,UGD120,EBB,JUB,,Y,green
5X-EQU,2026-09-04,UR521,UGD521,MGQ,EBB,,Y,green
5X-EQU,2026-09-04,UR520,UGD520,EBB,MGQ,,Y,green
5X-EQU,2026-09-04,UR323,UGD323,DAR,EBB,,Y,green
5X-EQU,2026-09-05,UR722,UGD722,LUN,EBB,,Y,green
5X-EQU,2026-09-05,UR722,UGD722,HRE,LUN,Y,,green
5X-EQU,2026-09-05,UR722,UGD722,EBB,HRE,,Y,green
5X-EQU,2026-09-06,UR720,UGD720,LUN,HRE,Y,,green
5X-EQU,2026-09-06,UR720,UGD720,EBB,LUN,,Y,green
5X-EQU,2026-09-06,UR361,UGD361,BJM,EBB,,Y,green
5X-EQU,2026-09-06,UR360,UGD360,EBB,BJM,,Y,green
5X-EQU,2026-09-06,UR334,UGD334,JRO,EBB,,Y,green
5X-EQU,2026-09-06,UR334,UGD334,ZNZ,JRO,Y,Y,green
